id,translate,translate_description,source
5639,world market,global market with uniform prices for traded goods and services,AI
5640,global politics,world politics in a global framework,AI
5641,global star,person famous all over the world,AI
5642,helix,helical structure and its technical application,AI
5643,ram,male sheep,AI
5644,rendering,rendering or presentation of information or works,AI
5645,wilderness,area uninfluenced by humans,AI
5646,inn,house where guests are served food and drink,AI
5647,well being,state in which someone feels good and is in good condition,AI
5648,residential complex,building or complex with many apartments and shared facilities,AI
5649,home ownership,ownership of living space,AI
5650,housing allowance,state support for needy people for rent costs,AI
5651,apartment fire,uncontrolled fire in an apartment,AI
5652,wish list,list of wishes,AI
5653,root,plant organ for anchoring and absorbing nutrients,AI
5654,yen,Japanese currency,AI
5655,pikeperch,predatory freshwater fish of the perch family,AI
5656,mine,facility to extract valuable materials from the ground,AI
5657,ten thousand,number ten thousand,AI
5658,gingerbread,small flat pastry; also Lebkuchen,AI
5659,decay,disintegration into components,AI
5660,breakup,action of breaking a whole into parts,AI
5661,certificate,proof of qualification,AI
5662,finish line,line marking the finish for participants,AI
5663,goal setting,act of defining what is to be achieved,AI
5664,cinnamon,spice from dried bark of cinnamon trees,AI
5665,lemon,yellow citrus fruit,AI
5666,civil courage,courage of citizens to stand up to authorities,AI
5667,zugzwang,compulsion to make a move in a game even if disadvantageous,AI
5668,interim balance,preliminary balance,AI
5669,depiction,something depicted pictorially or symbolically; a representation,AI
5670,evening newspaper,"a newspaper published in the evening, often a tabloid",AI
5671,sequence,ordered succession,AI
5672,query,selection of information from an electronically stored dataset,AI
5673,subscription,right secured by prepayment for regular services or goods,AI
5674,final training session,last training before a competition,AI
5675,split-off,separation of a part that forms its own unit,AI
5676,barrier,device preventing something from passing a point,AI
5677,relegation spot,table position implying relegation next season,AI
5678,vote out,election in which the incumbent is not re-elected,AI
5679,dissenter,someone who thinks differently in a line-loyal system,AI
5680,devaluation,reduction of a currency's value,AI
5681,branch,place where a road/path branches off,AI
5682,eight,the numeral 8 or something labeled 8,AI
5683,adaptation,adjustment or ability to adapt,AI
5684,adoption,legal acceptance of a non-biological child,AI
5685,anus,exit opening of the intestine through which feces leave the bowel,AI
5686,academic,person who completed higher education with a degree,AI
5687,accordion,instrument with keys or buttons; sound produced by reeds and bellows,AI
5688,acrobatics,skill in physical exercises,AI
5689,alert readiness,state of being ready for an alarm,AI
5690,all-wheel drive,drive system where all wheels propel the vehicle,AI
5691,alpine club,club for mountain sports,AI
5692,retirement home,facility for elderly people to live and be cared for,AI
5693,traffic light system,signal installation for traffic control,AI
5694,office colleague,person holding the same office as someone else,AI
5695,devotion,deep inner focus or devotion,AI
5696,initial suspicion,level of suspicion requiring investigations to start in Germany,AI
5697,suggestion,proposal to do or not do something,AI
5698,request,request often perceived as unreasonable,AI
5699,spur,motive or inner drive for action,AI
5700,institution,public institution housing a specific group,AI
5701,coat of paint,painting or applying paint,AI
5702,inaugural speech,speech at the beginning of a role,AI
5703,Antwerp,city in Belgium,AI
5704,Arab,"member of various Semitic peoples settled in North Africa, the Arabian Peninsula and the Near East",AI
5705,labor court,court dealing with cases concerning labor law,AI
5706,working life,part of life spent on professional work and its conditions,AI
5707,unemployment benefit,money paid by unemployment insurance; a social benefit,AI
5708,labor law,body of legal rules governing employment relationships,AI
5709,female architect,female professional who plans buildings,AI
5710,army chief,head of an army,AI
5711,testimony of incompetence,proof of unfitness,AI
5712,Ash Wednesday,start of the 40-day fast in Christianity,AI
5713,astronomy,study of the stars as an exact science,AI
5714,asylum law,body of legal rules on granting asylum,AI
5715,breath,single act of inhaling or exhaling,AI
5716,athlete,person who trains and competes in sports,AI
5717,female athlete,female athlete and competitor,AI
5718,breathing,process of inhaling and exhaling air,AI
5719,maintenance,measures to keep something in existence,AI
5720,opening match,first match in a tournament or season,AI
5721,inspection,direct observation,AI
5722,male eyewitness,male person who witnessed an event or act,AI
5723,auction house,"company that appraises, documents, presents and sells goods",AI
5724,organizer,person or organization that prepares and organizes an event,AI
5725,selection procedure,process in which people or items are selected for a purpose,AI
5726,car trip,trip by car,AI
5727,automatism,activity without control by the central nervous system,AI
5728,car race,competition where four-wheeled vehicles race for speed,AI
5729,bathhouse keeper,owner of a bath who also performed healing and barber work,AI
5730,swimming lake,lake where swimming is possible,AI
5731,bathtub,elongated tub in a bathroom for bathing,AI
5732,station district,area of a city around the station,AI
5733,rail line,line on which trains run regularly,AI
5734,bacterium,single-celled prokaryotic organism without a cell nucleus,AI
5735,Baltic region,region of the Baltic states,AI
5736,banana,"elongated, usually yellow tropical fruit",AI
5737,bank account,account at a bank managed by it,AI
5738,bass singer,singer with a bass voice,AI
5739,building application,written request for a building permit,AI
5740,construction trade,sector of companies whose business is construction,AI
5741,building land,land that can be built on according to zoning plans,AI
5742,cotton,seed hairs of the cotton plant,AI
5743,construction company,company that performs construction work,AI
5744,answering,oral or written answer to a question or inquiry,AI
5745,authority,authorization to do something,AI
5746,desire,intense desire for something or someone,AI
5747,inspection,entering and inspecting an area or room,AI
5748,female companion,female person who accompanies someone,AI
5749,Beirut,capital of Lebanon,AI
5750,contributor,person who regularly pays contributions,AI
5751,coating,layer applied to a surface,AI
5752,siege,encircling a city to force surrender by starvation,AI
5753,disadvantage,worse treatment compared to others,AI
5754,naming,word or expression for something meant,AI
5755,use,use of something,AI
5756,comfort,presence of pleasant feelings due to objects or facilities,AI
5757,female advisor,qualified female person who gives advice,AI
5758,consulting company,company for consulting,AI
5759,authorization,authority to do something,AI
5760,riot police,support and rapid response units of police forces,AI
5761,mountain station,"terminal of a mountain railway, cable car, or chairlift",AI
5762,female Berliner,female person born or living in Berlin,AI
5763,work experience,knowledge and experience gained through practice,AI
5764,vocational school,part-time vocational school in the dual system,AI
5765,appeal proceedings,court proceedings reviewing a lower court's judgment,AI
5766,calming,relaxing a situation,AI
5767,modesty,unobtrusive restraint,AI
5768,best performance,best possible performance,AI
5769,punishment,imposition of a penalty,AI
5770,operating company,company that operates something,AI
5771,operations manager,head of an operation,AI
5772,affected person,person affected or impacted,AI
5773,management,running or management of an operation,AI
5774,district government,highest administrative authority of a government district,AI
5775,district head,supporter of the mayor in district affairs,AI
5776,biathlon,winter sport combining cross-country skiing and shooting,AI
5777,sculptor,artist who creates sculptures,AI
5778,education policy,political measures and decisions about education,AI
5779,link,device or person that connects different units,AI
5780,bistro,small simple place for drinks and small meals,AI
5781,eye-catcher,conspicuous object attracting attention,AI
5782,bombardment,continuous attack with heavy guns or bombs,AI
5783,Bolzano,city in South Tyrol,AI
5784,arsonist,person who causes a fire intentionally or negligently,AI
5785,roast,roasted piece of meat,AI
5786,bravura,ability to master something despite setbacks,AI
5787,back,back or hump,AI
5788,federal institution,federal authority,AI
5789,female federal health minister,female head of health at federal level,AI
5790,federal institute,institute of the federal government,AI
5791,female federal minister,female head of a federal ministry,AI
5792,Federal Court of Auditors,independent authority controlling federal finances,AI
5793,federal association,association at federal level,AI
5794,federal executive board,board of a federal organization,AI
5795,young man,young man; boy,AI
5796,bus station,transport facility with bus platforms,AI
5797,castle,castle (English),AI
5798,catering,professional provision of food and drink at any location,AI
5799,equal opportunity,equality of chances,AI
5800,batch,lot produced in one production run,AI
5801,charisma,gift of receiving revelations or inspiration,AI
5802,boss's matter,matter of highest importance handled by the boss,AI
5803,chili,pepper type from Central America,AI
5804,surgery,medical field treating organs by operations,AI
5805,Christian woman,female follower of Christianity,AI
5806,Christmas market,pre-Christmas market with seasonal goods,AI
5807,clown,performer in costume who makes jokes,AI
5808,coaching,supporting and developing a person or group,AI
5809,comic,picture story sequence,AI
5810,female cousin,daughter of an aunt or uncle,AI
5811,curry,spice mix with turmeric and other spices,AI
5812,attic floor,part or floor directly under the roof,AI
5813,roof terrace,open area on a roof used as a terrace,AI
5814,existence,a person's life,AI
5815,dealer,person who sells drugs,AI
5816,dean,head and spokesperson of a faculty,AI
5817,Delhi,capital region of India,AI
5818,dismantling,disassembly of objects,AI
5819,monument preservation,measures to maintain cultural monuments,AI
5820,deregulation,abolition or reduction of regulations,AI
5821,destination,destination airport or travel destination,AI
5822,service,performance not producing a material good,AI
5823,record library,collection of records,AI
5824,dissertation,scientific thesis,AI
5825,thunder,crashing sound produced by lightning,AI
5826,double standards,moral views contradicting actual behavior,AI
5827,one-two,double pass between two players,AI
5828,villager,inhabitant of a village,AI
5829,dosage,setting the exact dose,AI
5830,dossier,file of documents on a case or person,AI
5831,wire drawer,person who draws wire using machines,AI
5832,potter's wheel,device with a horizontal rotating disk,AI
5833,penetrating power,ability of a projectile to penetrate armor,AI
5834,thirst,strong desire to drink,AI
5835,Edinburgh,capital of Scotland,AI
5836,spouse,one of two married persons,AI
5837,squirrel,small rodent with bushy tail,AI
5838,jealousy,pathological envy,AI
5839,self-direction,self-determination,AI
5840,expedited procedure,fast court procedure,AI
5841,bucket,tall round container with a handle,AI
5842,simplicity,quality of being simple,AI
5843,school enrollment,enrolling a child in school,AI
5844,insertion,inserting or adding something,AI
5845,first day,start at a new workplace,AI
5846,immigration policy,policy regarding immigration,AI
5847,throw-in,regulation throw-in in sports,AI
5848,eleven,"something with size, value, measure or number 11",AI
5849,elbow,bony projection at the elbow joint,AI
5850,final score,final result of a game,AI
5851,terminal,last stop of a vehicle,AI
5852,energy corporation,large energy company producing and distributing energy,AI
5853,bottleneck,shortage of resources; economic shortage,AI
5854,development,process of unfolding,AI
5855,accommodation,willingness to give way,AI
5856,elaboration,working out; creating,AI
5857,inheritance tax,tax on inheritance based on relation and amount,AI
5858,ground,"solid ground, Earth's surface",AI
5859,soil,upper loose layer of earth,AI
5860,landslide,sudden sliding of earth and rock masses,AI
5861,winning streak,series of successes,AI
5862,erosion,destructive process eroding surfaces,AI
5863,producer,manufacturer of a product,AI
5864,donkey,hoofed animal of the horse family with gray to brown coat short upright mane long ears and tufted tail; domesticated as work pack and riding animal,AI
5865,ethics,branch of philosophy and field of study dealing with right human action,AI
5866,label,label on branded goods that mainly informs about the brand or the product,AI
5867,European Cup,sports competition at European level,AI
5868,European cup competition,European cup competition,AI
5869,expert commission,advisory group of experts,AI
5870,top class,particularly high class,AI
5871,face,face in English,AI
5872,trade magazine,magazine dealing with specialist topics,AI
5873,elevator,installation that moves people or objects vertically by a cabin,AI
5874,running gear,all parts of a land vehicle that connect the chassis via the wheels to the road,AI
5875,fauna,totality of all animals of a defined area,AI
5876,rule of thumb,customary but inexact rule that has proven itself over time but is not officially fixed,AI
5877,fairy,beautiful usually good female fairy tale figure,AI
5878,wrong decision,erroneous decision,AI
5879,celebratory hour,time when one can celebrate,AI
5880,outfield player,player in the field not a goalkeeper,AI
5881,shred,irregular small piece of something such as a sheet of paper,AI
5882,film series,series of films,AI
5883,final qualification,reaching the final in a competition,AI
5884,financial planning,planning of finances,AI
5885,darkness,intense darkness or near complete absence of light,AI
5886,fixed point,fixed point,AI
5887,flagship,lead ship of a fleet,AI
5888,flirt,casual spontaneous play of mutual attraction between two people,AI
5889,air traffic control,guidance and control system for civil and military air traffic,AI
5890,fluctuation,irregular random change such as around a mean value,AI
5891,flood disaster,devastating flood that causes many deaths and damage,AI
5892,following year,the subsequent year,AI
5893,formality,mere formality,AI
5894,foul play,illegal action,AI
5895,friendly match,match played outside competitions to maintain friendly relations,AI
5896,peace process,efforts to conclude peace,AI
5897,peacekeeping force,military unit stationed on a peace mission in a crisis area,AI
5898,Friedrichshafen,city on Lake Constance,AI
5899,fruit,covering of the seeds of a plant,AI
5900,fleet,all vehicles of an organization,AI
5901,radio silence,time when no radio transmission occurs,AI
5902,goose,group of various genera of geese,AI
5903,gardening,work to cultivate a garden with fruit vegetables or flowers,AI
5904,hospitality,willingness to receive guests kindly,AI
5905,hospitality industry,sector for gastronomy and hotels,AI
5906,genus,kind or species in a general sense,AI
5907,obstetrics,field of gynecology dealing with childbirth and care of pregnant women,AI
5908,birth city,city where a person was born,AI
5909,day of remembrance,anniversary to remember something or someone,AI
5910,danger zone,area of increased danger,AI
5911,skirmish,combat between opposing military units,AI
5912,obedience,unquestioning compliance with orders from authority,AI
5913,violin,violin string instrument with four strings tuned G D A E,AI
5914,wrong way driver,person driving against the prescribed direction,AI
5915,female beloved,female partner loved or in a sexual relationship,AI
5916,municipal area,community land area,AI
5917,municipal office,municipal administrative authority,AI
5918,commonality,quality shared by two or more persons or objects,AI
5919,mixture,something formed by mixing substances; mixture of different substances,AI
5920,chief public prosecutor,highest public prosecutor under the state justice minister,AI
5921,satisfaction,feeling of having done the right and necessary thing,AI
5922,scuffle,prolonged physical scuffling,AI
5923,prattle,meaningless talk,AI
5924,separation of powers,principle separating legislative executive and judicial powers,AI
5925,habit,action that became routine and is repeated often unconsciously,AI
5926,black ice,frozen water on public traffic surfaces,AI
5927,gondola,oar driven boat typical of Venice,AI
5928,Goslar,city in Lower Saxony,AI
5929,house of worship,building where followers honor one or more gods,AI
5930,border region,region near a border,AI
5931,flu wave,significant rise in new infections during an outbreak,AI
5932,gun,syringe used to inject drugs into a vein,AI
5933,credit,balance of money in an account,AI
5934,Haiti,state in the Caribbean,AI
5935,half marathon,long distance run of 21.0975 km,AI
5936,caravanserai,public building on trade routes in SE Europe and Near East for travelers,AI
5937,turning the hand,hand movement turning the palm over,AI
5938,hashish,preparation from cannabis resin producing intoxication,AI
5939,main hearing,central court hearing,AI
5940,house arrest,punishment where a person may not leave home,AI
5941,house resident,person who lives in a house,AI
5942,sturgeon,large sturgeon whose roe is used as caviar,AI
5943,budget plan,overview of expected income and expenditures in a fiscal year,AI
5944,spending freeze,ban on spending approved funds,AI
5945,caretaker,person responsible for maintenance of a building,AI
5946,ban from premises,ban imposed by owner to enter property or home,AI
5947,property management,company managing houses on behalf of owners,AI
5948,Havel,river in northeastern Germany,AI
5949,home advantage,advantage of the home team in sports,AI
5950,marriage,wedding event where two people marry or enter partnership,AI
5951,inhibition,hesitation to do something due to morals or norms,AI
5952,handle,handle on a cup or jug,AI
5953,highway,main traffic road in North America,AI
5954,cry for help,loud call for help in an emergency,AI
5955,helplessness,state of being unable to help oneself,AI
5956,disadvantageous position,disadvantageous situation,AI
5957,female historian,female scientist who researches and presents history,AI
5958,extrapolation,approximate estimate based on calculations from a partial result,AI
5959,hotel industry,totality of hotels and their services,AI
5960,chicken,domestic chicken Gallus gallus gallus,AI
5961,one hundred thousand,number 100000,AI
5962,beekeeper,person who keeps bees and produces honey,AI
5963,vaccine,substance given to stimulate antibodies and immunity,AI
5964,industrial production,production by industry,AI
5965,industrial enterprise,company that produces industrially,AI
5966,information technology,techniques to create process transport and store information,AI
5967,information event,event for informing and discussing a topic,AI
5968,inner life,psyche of a person,AI
5969,repair,restoring an object to functional condition,AI
5970,interest group,association of people to represent concerns,AI
5971,annual revenue,revenue of a company in a year,AI
5972,jeep,off road vehicle with all wheel drive,AI
5973,Johannesburg,large city in South Africa,AI
5974,clear cutting,cutting down all trees in a place,AI
5975,calendar year,year from January 1 to December 31,AI
5976,caliber,inner diameter of a gun barrel or projectile diameter,AI
5977,calculation,calculation to determine costs,AI
5978,Cameroon,state in Central Africa,AI
5979,landslide win,easy and therefore high victory in sport,AI
5980,chaplain,clergyman assigned to a chapel or parish,AI
5981,department store,large multi floor store with wide assortment,AI
5982,wedge,pointed object of solid material shaped like a triangular prism,AI
5983,germ,beginning or first sign,AI
5984,nuclear energy,energy produced by fusion or fission,AI
5985,killer,person who kills often for payment,AI
5986,pediatrician,doctor specializing in children medicine,AI
5987,church square,square directly next to a church,AI
5988,clarification,correction of a misunderstanding,AI
5989,clapper,folded paper that makes a cracking sound when snapped,AI
5990,climate conference,meeting of experts about climate,AI
5991,blade,flat sharpened part of tools or weapons,AI
5992,knight,knight in English,AI
5993,cookbook,printed work containing recipes,AI
5994,carbon,nonmetal element with atomic number 6,AI
5995,commander,commander of a unit from battalion to division,AI
5996,female commissioner,female government commissioner,AI
5997,compensation,often unconscious motive to balance a deficiency elsewhere,AI
5998,competence center,center for expertise,AI
5999,configuration,specific arrangement of related objects,AI
6000,constant,something that does not change within a period,AI
